IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria
109104,2024.0,1.0,0.0,,MSI
109104,2024.0,2.0,1.0,1.0,MSI
109104,2024.0,3.0,0.0,3.0,MSI
109104,2024.0,4.0,0.0,2.0,MSI
109104,2024.0,5.0,0.0,1.0,MSI
109104,2024.0,6.0,1.0,0.0,MSI
109300,2024.0,1.0,1.0,2.0,MSI
109300,2024.0,2.0,1.0,0.0,MSI
109300,2024.0,3.0,2.0,1.0,MSI
109300,2024.0,4.0,1.0,5.0,MSI
109300,2024.0,5.0,3.0,3.0,MSI
109300,2024.0,6.0,0.0,0.0,MSI
109301,2024.0,1.0,1.0,8.0,MSI
109301,2024.0,2.0,5.0,4.0,MSI
109301,2024.0,3.0,6.0,5.0,MSI
109301,2024.0,4.0,8.0,10.0,MSI
109301,2024.0,5.0,5.0,2.0,MSI
109301,2024.0,6.0,4.0,2.0,MSI
109302,2024.0,1.0,,2.0,MSI
109302,2024.0,2.0,1.0,,MSI
109302,2024.0,3.0,1.0,,MSI
109302,2024.0,4.0,,1.0,MSI
109302,2024.0,5.0,,1.0,MSI
109302,2024.0,6.0,,0.0,MSI
109303,2024.0,1.0,1.0,4.0,MSI
109303,2024.0,2.0,5.0,2.0,MSI
109303,2024.0,3.0,2.0,3.0,MSI
109303,2024.0,4.0,3.0,5.0,MSI
109303,2024.0,5.0,1.0,1.0,MSI
109303,2024.0,6.0,,2.0,MSI
109304,2024.0,1.0,2.0,1.0,MSI
109304,2024.0,2.0,4.0,0.0,MSI
109304,2024.0,3.0,,1.0,MSI
109304,2024.0,5.0,,0.0,MSI
109304,2024.0,6.0,1.0,,MSI
109305,2024.0,1.0,1.0,2.0,MSI
109305,2024.0,2.0,0.0,2.0,MSI
109305,2024.0,3.0,0.0,3.0,MSI
109305,2024.0,4.0,3.0,2.0,MSI
109305,2024.0,5.0,3.0,3.0,MSI
109305,2024.0,6.0,0.0,2.0,MSI
109307,2024.0,1.0,0.0,0.0,MSI
109307,2024.0,2.0,,4.0,MSI
109307,2024.0,3.0,0.0,0.0,MSI
109307,2024.0,4.0,3.0,2.0,MSI
109307,2024.0,5.0,1.0,0.0,MSI
109307,2024.0,6.0,,0.0,MSI
109308,2024.0,1.0,0.0,1.0,MSI
109308,2024.0,2.0,,2.0,MSI
109308,2024.0,3.0,,3.0,MSI
109308,2024.0,4.0,,4.0,MSI
109308,2024.0,5.0,1.0,1.0,MSI
109308,2024.0,6.0,1.0,1.0,MSI
109309,2024.0,1.0,1.0,1.0,MSI
109309,2024.0,2.0,1.0,3.0,MSI
